DEVICE;TYPEID;M;N;K;S;GFLOPS;BS;BM;BN;BK;WS;WG;LU;NZ;AL;TB;TC;AP;AA;AB;AC
NVIDIA H100 PCIe [0xa32d];3;13;7;13;30000;0;14;13;1;4;0;-2;2;0;0;1;1;1;2;0;0
NVIDIA H100 PCIe [0xa32d];3;13;9;4;30000;0;14;13;1;8;0;1;-2;0;0;1;1;1;1;0;0
NVIDIA H100 PCIe [0xa32d];3;13;13;4;30000;0;24;13;1;10;0;-1;-2;0;0;0;1;0;2;3;0
NVIDIA H100 PCIe [0xa32d];3;13;13;5;30000;0;20;13;1;6;0;0;-1;1;0;0;1;0;1;0;0
NVIDIA H100 PCIe [0xa32d];3;13;13;7;30000;0;17;13;1;3;0;1;-2;1;0;0;1;1;1;0;0
NVIDIA H100 PCIe [0xa32d];3;13;13;13;30000;0;11;13;1;5;0;-2;1;1;0;0;1;0;1;3;0
NVIDIA H100 PCIe [0xa32d];3;13;13;17;30000;0;17;13;1;8;0;-2;-2;1;0;0;1;1;1;3;0
NVIDIA H100 PCIe [0xa32d];3;13;13;32;30000;0;6;13;1;5;0;1;-2;1;0;0;1;1;2;3;0
NVIDIA H100 PCIe [0xa32d];3;13;17;4;30000;0;18;13;1;9;0;-2;-1;1;0;0;1;1;2;3;0
NVIDIA H100 PCIe [0xa32d];3;13;17;5;30000;0;17;13;1;5;0;0;2;1;0;0;1;1;1;0;0
NVIDIA H100 PCIe [0xa32d];3;13;17;13;30000;0;11;13;1;10;0;-2;0;0;0;0;1;1;1;3;0
NVIDIA H100 PCIe [0xa32d];3;13;17;17;30000;0;17;13;1;2;0;-2;1;0;0;0;1;1;1;3;0
NVIDIA H100 PCIe [0xa32d];3;13;17;32;30000;0;17;13;1;12;0;1;0;0;0;0;1;1;2;3;0
NVIDIA H100 PCIe [0xa32d];3;13;32;4;30000;0;25;13;1;11;0;-2;-2;1;0;0;1;1;1;3;0
NVIDIA H100 PCIe [0xa32d];3;13;32;5;30000;0;18;13;1;10;0;1;0;1;0;0;1;0;2;3;0
NVIDIA H100 PCIe [0xa32d];3;13;32;13;30000;0;22;13;1;12;0;0;-2;0;0;0;1;1;1;3;0
NVIDIA H100 PCIe [0xa32d];3;13;32;17;30000;0;25;13;1;10;0;-1;-1;0;0;0;1;1;1;3;0
NVIDIA H100 PCIe [0xa32d];3;13;32;32;30000;0;15;13;1;12;0;0;0;1;0;0;1;0;2;3;0
NVIDIA H100 PCIe [0xa32d];3;15;4;4;30000;0;9;15;1;11;0;1;-2;1;0;0;1;0;3;3;0
NVIDIA H100 PCIe [0xa32d];3;15;15;15;30000;0;12;15;1;7;0;-2;-2;0;0;1;1;0;1;3;0
